afford|负担得起
jet|喷气式飞机；喷射
joint|关节；连接的
journal|日报，日志
jury|陪审团，评委会
justify|证明...是正当的
keen|热切的，敏锐的
kettle|水壶，锅
keyboard|键盘
kidnap|绑架，诱拐
kindergarten|幼儿园
kneel|跪下
knot|结，打结
label|标签，标记
laboratory|实验室，研究室
lack|缺乏，不足
lag|落后，滞后
lamb|羔羊，小羊
landlord|房东，地主
lane|小路，车道
lap|一圈，大腿
largely|主要地，大量地
laser|激光
latter|后者的，后一半的
launch|发射，发起
laundry|洗衣店，待洗衣物
lavatory|厕所，盥洗室
lawn|草坪，草地
layer|层，层次
layout|布局，设计
leadership|领导，领导地位
leak|漏洞，泄漏
lean|倾斜，依靠
leap|跳跃，飞跃
learned|博学的，有学问的
lease|租约，出租
leather|皮革，皮制品
legal|法律的，合法的
legislation|法律，立法
leisure|闲暇，休闲
lens|透镜，镜头
liable|有责任的，有...倾向的
liberal|自由的，慷慨的
liberty|自由，自由权
librarian|图书管理员
licence/license|执照，许可证
lick|舔，舔吃
lid|盖子，盖
lightning|闪电，雷电
likely|可能的，有希望的
likewise|同样地，也
limb|肢，臂
lime|石灰
limitation|限制，局限
link|链接，联系
liquid|液体，液态的
literary|文学的，书面的
liver|肝脏，生活者
loaf|一条面包，游荡
loan|贷款，借出
lobby|大厅，休息室
local|当地的，局部的
locate|位于，坐落于
lodge|暂住，借宿
log|原木，日志
logic|逻辑，逻辑学
loosen|松开，放松
lord|上帝，贵族
lorry|卡车，货车
loyal|忠诚的，忠心的
lump|块，团
lung|肺，肺脏
luxury|奢侈，奢华
machinery|机械，机器（总称）
magic|魔法，魔术
magnet|磁铁，磁体
magnificent|壮丽的，宏伟的
maid|女仆，侍女
mainland|大陆，本土
maintain|维持，保持
maintenance|维护，保养
major|主要的，重大的
male|男性的，雄性的
management|管理，经营
mankind|人类
manual|手册，指南
manufacture|制造，加工
margin|页边空白；利润
marine|海生的，海产的
married|已婚的，婚姻的
marvelous|极好的，非凡的
mask|面具，口罩
massive|巨大的，大规模的
mat|垫子
mate|伙伴，同事
mathematical|数学的
mature|成熟的，到期的
maximum|最大值，最大限度
means|方法，手段
meantime|其间，同时
measurement|测量，尺寸
mechanic|技工，机修工
mechanical|机械的，力学的
mechanism|机制，机械装置
medal|奖章，勋章
media|媒体，媒介
medium|中等的，媒介
melon|瓜，甜瓜
melt|融化，熔化
memorial|纪念物，纪念碑
merchant|商人，生意人
mercy|仁慈，宽恕
mere|仅仅，只不过
merry|愉快的，欢乐的
mess|混乱，脏乱
microphone|麦克风
microscope|显微镜
mild|温和的，轻微的
military|军事的，军用的
mill|工厂，磨坊
millimeter|毫米
mineral|矿物，矿物质
minimum|最小值，最低限度
ministry|（政府的）部
minor|较小的，次要的
minus|减去，负的
miracle|奇迹，奇事
miserable|痛苦的，悲惨的
mislead|误导，将...引入歧途
missing|丢失的，失踪的
mission|使命，任务
mist|薄雾，雾霭
misunderstand|误解，误会
mixture|混合物，混合体
mobile|移动的，易变的
mode|方式，模式
moderate|适度的，中等的
modest|谦虚的，适度的
modify|修改，更改
moist|潮湿的，湿润的
molecule|分子，微粒
monitor|监视器，班长
monument|纪念碑
mood|情绪，心情
moral|道德的，道义的
moreover|而且，此外
mosquito|蚊子
motion|运动，手势
motivate|激发，激励
motive|动机，目的
mount|登上，爬上
movie|电影，影片
mud|泥，泥浆
multiple|多重的，多样的
multiply|乘，繁殖
muscle|肌肉，体力
musical|音乐的，悦耳的
mutual|相互的，共同的
mysterious|神秘的，不可思议的
naked|裸体的，无遮蔽的
namely|即，也就是
nationality|国籍，民族
natural|自然的，正常的
naval|海军的，军舰的
navigation|导航，航行
navy|海军，舰队
nearby|附近的，在附近
neat|整洁的；利索的
necessarily|必要地；必然地
necessity|必需品，必要
negative|消极的；否定的
neglect|忽视，忽略
negotiate|谈判，协商
neighbor(u)rhood|街区，邻近
nerve|神经；勇气
nest|巢，窝
network|网络，网状系统
neutral|中立的，中性的
nevertheless|然而，不过
nightmare|噩梦
noble|高尚的；贵族的
nod|点头
nonsense|胡说，废话
noodle|面条
normally|正常地，通常地
notebook|笔记本
noticeable|显而易见的
notify|通知，告知
notion|概念，想法
noun|名词
novel|小说
nowhere|任何地方都不
nuclear|原子核的；核心的
numerous|众多的，许多的
nursery|托儿所，苗圃
nylon|尼龙，聚酰胺纤维
obey|服从，听从
object|物体；反对
objection|反对，异议
objective|客观的；目标
obligation|义务，责任
oblige|迫使，责成
observation|观察，观测
observe|观察；遵守
obstacle|障碍，障碍物
obtain|获得，得到
obvious|明显的，显而易见的
occasion|场合，时机
occasional|偶尔的，偶然的
occupation|职业，占用
occupy|占据，占领
occur|发生，出现
odd|奇怪的；奇数的
offend|冒犯，得罪
offense|冒犯，罪行
offensive|冒犯的，进攻的
offer|提供；提议
omit|省略，遗漏
onion|洋葱，葱头
opening|开始；空缺
opera|歌剧
operate|操作，运转
operator|操作员，接线员
opponent|对手，敌手
opportunity|机会，时机
oppose|反对，反抗
optical|光的，视力的
optimistic|乐观的，乐观主义的
option|选择，选项
oral|口头的，口述的
orbit|轨道；环绕
orchestra|管弦乐队
orderly|整齐的；有秩序的
ore|矿石，矿砂
organ|器官；风琴
organic|有机的，有机体的
organism|生物体，有机体
organization|组织，机构
origin|起源，出身
original|最初的；原创的
ornament|装饰，装饰品
ounce|盎司，少量
outcome|结果，后果
outdoor|户外的，露天的
outer|外部的，外面的
outlet|出口，插座
outline|大纲，轮廓
outlook|展望，观点
output|产量，输出
outset|开始，开端
outstanding|杰出的，突出的
outward|向外的，外出的
oval|椭圆形的
oven|烤箱，烤炉
overall|总体的；全部的
overcome|克服，战胜
overhead|头顶上的；管理费用
overlook|俯瞰；忽视
overnight|通宵的；突然的
overseas|海外的，在海外
overtake|追上，超过
owe|欠；归功于
owner|主人，物主
ownership|所有权，物主身份
oxygen|氧气，氧
pace|步速，速度
package|包裹，包
pad|垫；便笺本
painter|画家，油漆工
palm|手掌，棕榈树
panel|面，板
panic|恐慌，惊慌
pants|裤子
parade|游行，检阅
paragraph|段落，节
parallel|平行的；类似的
parcel|包裹，邮包
parliament|议会，国会
partial|部分的，偏爱的
participate|参与，参加
particle|微粒，颗粒
particularly|特别地
partner|伙伴，合伙人
passion|激情，热情
passive|被动的，消极的
passport|护照
paste|浆糊；粘贴
pat|轻拍
patch|补丁，斑
patience|耐心，忍耐
paw|爪子
payment|支付，付款额
pea|豌豆
peach|桃子
peak|山顶，顶点
peanut|花生
pear|梨子，梨树
peculiar|奇怪的，特殊的
peer|同龄人；凝视
penalty|处罚，罚款
pension|养老金，抚恤金
pepper|胡椒粉，辣椒
per|每，每一
perceive|察觉，感知
percentage|百分比，百分率
perception|感知，认识
perform|表演，执行
perfume|香水，香味
period|时期，一段时间
permanent|永久的，永恒的
permission|许可，允许
persist|坚持，持续
personality|个性，人格
personnel|人事，全体人员
perspective|视角，远景
persuade|说服，劝说
pessimistic|悲观的，悲观主义的
petrol|汽油
petroleum|石油
phase|阶段，相位
phenomenon|现象，奇迹
philosopher|哲学家，思想家
philosophy|哲学，人生观
phone|电话，电话机
phrase|短语，词组
physical|身体的；物理的
physician|内科医生
physicist|物理学家
piano|钢琴
pick|挑选，采摘
picnic|野餐，郊游
pie|馅饼，派
pierce|刺穿，穿透
pigeon|鸽子
pill|药丸，药片
pillar|柱子，支柱
pillow|枕头
pilot|飞行员，领航员
pin|别针，大头针
pinch|捏，掐
pine|松树
pint|品脱（容量单位）
pit|深坑，矿井
pitch|场地；音高
planet|行星
plantation|种植园
plastic|塑料的；可塑的
platform|平台；站台
pledge|保证，誓言
plentiful|丰富的，充足的
plot|情节；小块土地
plug|插头；插座
plunge|投入；使突然下降
plural|复数的；复数
plus|加；正的
poem|诗，韵文
poet|诗人
poetry|诗歌，诗作
poison|毒药；毒害
poisonous|有毒的，恶毒的
policy|政策，方针
polish|磨光，擦亮
politician|政治家
poll|投票，民意测验
pollute|污染，弄脏
pond|池塘
pop|流行音乐；爆裂声
portable|手提的，便携的
porter|搬运工，门房
portion|部分，一份
portrait|肖像，画像
pose|姿势，摆姿势
positive|积极的；肯定的
possess|拥有，占有
possibility|可能性，可能
postage|邮资，邮费
poster|海报，招贴画
postpone|推迟，延期
potential|潜在的；潜力
pound|磅；英镑
pour|倒，灌
poverty|贫穷，贫困
powder|粉末，粉
powerful|强有力的，强大的
practically|几乎，实际上
pray|祈祷，恳求
precaution|预防措施
preceding|在前的，在先的
precise|精确的，准确的
predict|预言，预测
preface|序言，前言
prefer|更喜欢，宁愿
preference|偏爱，优先权
pregnant|怀孕的，孕育的
prejudice|偏见，成见
preliminary|初步的，预备的
preparation|准备，预备
preposition|介词
prescribe|开（药），规定
presence|出席，存在
presentation|展示，陈述
preserve|保护，保存
pressure|压力，压迫
pretend|假装，装作
prevail|流行，占优势
prevent|阻止，妨碍
previous|以前的，先前的
priest|牧师，神父
primary|主要的，初级的
prime|主要的，首要的
primitive|原始的，简单的
principal|校长；主要的
principle|原则，原理
prior|优先的，在前的
priority|优先权，重点
private|私人的，私有的
privilege|特权，优待
probable|可能的，大概的
procedure|程序，步骤
proceed|继续进行，开始
process|过程；加工
product|产品，产物
profession|职业，专业
professional|专业的，职业的
profile|侧面，轮廓
profit|利润，收益
progressive|进步的，先进的
prohibit|禁止，阻止
project|项目，工程
prominent|杰出的，突出的
promote|促进，提升
prompt|提示；迅速的
proof|证据，证明
property|财产，资产
proportion|比例，份额
proposal|提议，建议
propose|提议，建议
prospect|前景，前途
prosperity|繁荣，兴旺
protective|保护的，防护的
protein|蛋白质
protest|抗议，反对
provided|假如，倘若
province|省，省份
provision|提供，条款
provoke|挑衅，激起
psychological|心理的，心理学的
publication|出版，出版物
publicity|公众的注意，宣传
publish|出版，发行
pulse|脉搏；脉冲
pump|泵；打气
punch|拳打；打孔
punctual|守时的，准时的
purchase|购买，购置
purple|紫色的，紫红色的
purse|钱包，女用小包
pursue|追求，致力于
puzzle|谜；使困惑
qualification|资格，条件
qualify|使具有资格
queue|队列，排队
quit|停止，放弃
quiz|测验，小考
quotation|引文，报价
quote|引用，引述
rabbit|兔子，野兔
racial|种族的，人种的
rack|架子，挂架
radar|雷达
radiation|辐射，放射线
radical|激进的，根本的
rag|破布，碎布
rage|愤怒，狂怒
raid|袭击，搜捕
rail|栏杆，铁轨
railroad|铁路，铁道
rainbow|彩虹
rainy|下雨的，多雨的
rally|集会；恢复（健康）
range|范围；一系列
rank|等级，军衔
rare|罕见的，稀有的
rarely|很少，不常
rat|老鼠，耗子
rate|比率，速度
ratio|比，比率
rational|理性的，合理的
raw|生的；未加工的
ray|光线，射线
react|反应，起作用
reader|读者；读物
readily|乐意地；容易地
reading|阅读，读书
realistic|现实的，实际的
reality|现实，实际
realm|领域，王国
rear|后面的； rear 部
reasonable|合理的，公道的
rebel|反叛，反抗
recall|回忆，召回
receipt|收据，收条
receiver|接收者，听筒
recent|最近的，近来的
reception|接待，接收
recession|衰退，不景气
reckon|认为，估计
recognition|认出，承认
recommend|推荐，建议
reconcile|使和解，调停
recorder|录音机，记录员
recovery|恢复，痊愈
recreation|娱乐，消遣
recruit|招募，招聘
reduction|减少，降低
reference|参考，参照
refine|精炼，提纯
reflect|反映，反射
reform|改革，改良
refresh|使恢复精神
refrigerator|冰箱，冷藏库
refuge|避难，庇护
refusal|拒绝
regarding|关于
regardless|不管，不顾
region|地区，区域
register|登记，注册
regulate|管理，调节
reinforce|加强，加固
reject|拒绝，排斥
relate|联系，叙述
relationship|关系，联系
relativity|相对论，相关性
relax|放松，休息
release|释放，发布
relevant|相关的，切题的
reliable|可靠的，可信赖的
relief|减轻，救济
religion|宗教，信仰
religious|宗教的，虔诚的
reluctant|不情愿的，勉强的
rely|依靠，依赖
remark|评论，谈论
remarkable|非凡的，值得注意的
remedy|治疗法，补救
remote|遥远的，偏僻的
render|使得，给予
renew|更新，续借
rent|租用，出租
repeatedly|反复地，再三地
repetition|重复，反复
replace|代替，替换
represent|代表，象征
representative|代表，代理人
reproduce|复制，繁殖
republic|共和国，共和政体
reputation|名誉，声望
requirement|要求，必要条件
rescue|营救，救援
resemble|像，类似于
reservation|预订，保留
reserve|储备；保留
residence|居住，住所
resident|居民，定居的
resign|辞职，放弃
resist|抵抗，抵制
resistance|抵抗，阻力
resolution|决心，决定
resolve|解决，决心
resort|求助，诉诸；度假胜地
resource|资源，财力
respectively|分别地，各自地
respond|回答，响应
response|回答，响应
responsibility|责任，职责
responsible|负责的，可靠的
restless|焦躁不安的，不平静的
restore|恢复，修复
restrain|抑制，控制
restraint|抑制，克制
restrict|限制，约束
resume|简历；重新开始
retail|零售
retain|保留，保持
retire|退休，离开
retreat|撤退，退却
reveal|揭示，揭露
revenue|收入，税收
reverse|颠倒，反转
revise|修订，修改
revive|使复兴，苏醒
revolt|反叛，反抗
revolution|革命，巨变
reward|奖励，报酬
rhythm|节奏，韵律
rib|肋骨
ribbon|丝带，缎带
ridiculous|可笑的，荒谬的
rifle|步枪
rigid|严格的，僵硬的
riot|暴乱，骚乱
risk|风险，危险
rival|竞争对手，对手
roar|咆哮，吼叫
roast|烤，烘烤
rob|抢劫，盗窃
robot|机器人
rocket|火箭
rod|杆，棒
roller|滚筒，滚轴
romantic|浪漫的
rope|绳子，绳索
rotate|旋转，轮流
rouse|唤醒，激起
route|路线，路程
routine|例行公事，常规
royal|皇家的，王室的
rub|擦，摩擦
rude|粗鲁的，无礼的
rug|小地毯，毛毯
rumor|谣言，传闻
rural|农村的，乡村的
rust|锈，生锈
sack|袋子，解雇
sacrifice|牺牲，奉献
saddle|马鞍
sailor|水手，海员
saint|圣人，圣徒
sake|缘故，理由
salad|沙拉，凉拌菜
salary|薪水，薪金
salesman|售货员，推销员
sample|样品，样本
sanction|批准，制裁
satellite|卫星
satisfactory|令人满意的
saucer|茶碟，浅盘
sausage|香肠，腊肠
saving|储蓄，存款
saw|锯，锯开
scale|规模；比例尺
scan|扫描；浏览
scandal|丑闻
scarce|稀有的，罕见的
scare|惊吓，害怕
scatter|分散，撒
scenery|风景，布景
schedule|时间表，计划表
scheme|方案，计划
scholar|学者
scholarship|奖学金；学问
scissors|剪刀
scope|范围，机会
scout|侦察，童子军
scrape|刮，擦
scratch|抓，搔
screen|屏幕，银幕
screw|螺丝，旋钮
script|剧本，手稿
seal|海豹；封条
secondary|次要的，中级的
section|部分，部门
secure|安全的，可靠的
security|安全，保障
segment|部分，片段
select|选择，挑选
selection|选择，挑选
selfish|自私的
semester|学期
semiconductor|半导体
seminar|研讨会，研讨班
senate|参议院，大学理事会
senator|参议员
senior|年长的，高级的
sensible|明智的，理智的
sensitive|敏感的，灵敏的
sequence|序列，顺序
series|系列，连续剧
session|会议，学期
setting|环境，背景
settlement|定居点，解决
severe|严重的，严厉的
sexual|性的，性别的
shallow|浅的，肤浅的
shave|刮，剃
shed|流出；棚屋
sheer|纯粹的，陡峭的
shell|壳，炮弹
shelter|庇护所，避难所
shield|盾牌，保护
shift|移动，轮班
shiver|颤抖，发抖
shortage|短缺，不足
shortcoming|缺点，短处
shrink|收缩，缩小
shrug|耸肩
sideways|向侧面地
sigh|叹息，叹气
sightseeing|观光，游览
signal|信号，暗号
signature|签名，署名
significance|意义，重要性
significant|重要的，有意义的
simplicity|简单，朴素
simplify|简化，使简易
sin|罪，罪恶
sincere|真诚的，诚挚的
singular|单数的；非凡的
site|地点，场所
skate|滑冰，溜冰
skeleton|骨架，骨骼
sketch|素描，草图
ski|滑雪，滑雪板
skilled|熟练的，有技能的
skillful|灵巧的，熟练的
skim|掠过，浏览
slam|砰地关上
slap|掌掴，拍打
sleeve|袖子
slender|苗条的，纤细的
slice|薄片，切片
slide|滑动，滑梯
slight|轻微的，纤细的
slim|苗条的，修长的
slip|滑倒，滑落
slippery|滑的，狡猾的
slit|切开，裂缝
slope|斜坡，倾斜
smash|打碎，撞击
snap|折断，猛咬
soak|浸泡，浸湿
soar|高飞，剧增
sob|抽泣，哭泣
so-called|所谓的
soccer|英式足球
social|社会的，社交的
soda|苏打水，汽水
sofa|沙发
software|软件
solar|太阳的，太阳能的
sole|脚底；唯一的
solemn|庄严的，隆重的
solution|解决方案，溶液
solve|解决，解答
somehow|不知怎么地
somewhat|稍微，有点
sophisticated|复杂的，老练的
sore|疼痛的，酸痛的
sorrow|悲伤，悲痛
sour|酸的，发酵的
source|来源，出处
southeast|东南
southwest|西南
sow|播种，散布
spacecraft|宇宙飞船
spade|铲子，铁锹
span|跨度，范围
spark|火花，引发
speaker|演讲者，扬声器
specialist|专家
specialize|专门从事
species|物种，种类
specific|具体的，明确的
specify|指定，详细说明
