achieve|实现，获得
count|数数；认为
counter|柜台；计数器
countryside|乡下，农村
couple|一对；夫妻
courage|勇气，胆量
course|课程；过程
court|法院；球场
courtyard|庭院，院子
cousin|堂（表）兄弟姐妹
cover|覆盖；封面
crack|裂缝；爆裂声
craft|工艺；手艺
crash|碰撞；坠毁
crawl|爬行，蠕动
crazy|疯狂的，荒唐的
cream|奶油，乳脂
create|创造，产生
creative|有创造力的，创造性的
creature|生物，动物
credit|信用；学分
crime|罪行，犯罪
criminal|罪犯；犯罪的
crisis|危机，紧要关头
critic|批评家，评论家
critical|关键的；批评的
criticism|批评，指责
criticize|批评，评论
crop|农作物；庄稼
cross|穿过；十字架
crowd|人群；拥挤
crown|王冠，皇冠
crucial|至关重要的，决定性的
cruel|残酷的，残忍的
culture|文化，文明
cupboard|橱柜，衣柜
cure|治愈；疗法
curious|好奇的，奇怪的
currency|货币，通货
curriculum|课程
curtain|窗帘，门帘
curve|曲线，弯曲
custom|习惯，风俗
customer|顾客，客户
cycle|循环，周期
